Pressure,Lat,Long,Altitude,MSE
2000.0,53.0,-112.0,25904.52907014407,0.013311191382556235
2000.0,54.0,-24.0,26316.559303093905,0.010376290069921617
2000.0,58.0,14.0,26072.30670864428,0.00875529283217444
2000.0,58.0,71.0,25592.706095175166,0.018172507591072584
2000.0,59.0,31.0,25889.504845563846,0.009291094420609816
2000.0,66.0,-149.0,24699.88058081986,0.01397800392588892
2000.0,73.0,-114.0,24425.122356965174,0.013376281326409221
2000.0,74.0,-125.0,24357.565000518243,0.011850962395368422
2000.0,82.0,17.0,24359.645797704186,0.017453755162030942
2000.0,83.0,-178.0,24152.73558315195,0.010420535198078264
2000.0,89.0,-151.0,24163.32433535448,0.013696288172726811
